"Time","Temperature_C"
01/02/2021 00:,19.4
01/02/2021 01:,19.4
01/02/2021 02:,19.3
01/02/2021 03:,19.3
01/02/2021 04:,19.1
01/02/2021 05:,19
01/02/2021 06:,19
01/02/2021 07:,19
01/02/2021 08:,18.9
01/02/2021 09:,19
01/02/2021 10:,19
01/02/2021 11:,19.1
01/02/2021 12:,19.4
01/02/2021 13:,19.5
01/02/2021 14:,19.5
01/02/2021 15:,19.5
01/02/2021 16:,19.6
01/02/2021 17:,19.6
01/02/2021 18:,19.6
01/02/2021 19:,19.6
01/02/2021 20:,19.6
01/02/2021 21:,19.6
01/02/2021 22:,19.6
01/02/2021 23:,19.5
02/02/2021 00:,19.5
02/02/2021 01:,19.5
02/02/2021 02:,19.4
02/02/2021 03:,19.4
02/02/2021 04:,19.4
02/02/2021 05:,19.4
02/02/2021 06:,19.3
02/02/2021 07:,19.3
02/02/2021 08:,19.2
02/02/2021 09:,19.2
02/02/2021 10:,19.3
02/02/2021 11:,19.5
02/02/2021 12:,19.7
02/02/2021 13:,20
02/02/2021 14:,20.1
02/02/2021 15:,20.2
02/02/2021 16:,20.2
02/02/2021 17:,20.2
02/02/2021 18:,20.1
02/02/2021 19:,20
02/02/2021 20:,19.9
02/02/2021 21:,19.8
02/02/2021 22:,19.7
02/02/2021 23:,19.7
03/02/2021 00:,19.6
03/02/2021 01:,19.6
03/02/2021 02:,19.6
03/02/2021 03:,19.6
03/02/2021 04:,19.5
03/02/2021 05:,19.5
03/02/2021 06:,19.5
03/02/2021 07:,19.5
03/02/2021 08:,19.5
03/02/2021 09:,19.5
03/02/2021 10:,19.5
03/02/2021 11:,19.6
03/02/2021 12:,19.9
03/02/2021 13:,20.1
03/02/2021 14:,20.2
03/02/2021 15:,20.4
03/02/2021 16:,20.4
03/02/2021 17:,20.4
03/02/2021 18:,20.2
03/02/2021 19:,20.2
03/02/2021 20:,20.1
03/02/2021 21:,20.1
03/02/2021 22:,20
03/02/2021 23:,20
04/02/2021 00:,20
04/02/2021 01:,19.9
04/02/2021 02:,19.9
04/02/2021 03:,19.9
04/02/2021 04:,19.9
04/02/2021 05:,19.7
04/02/2021 06:,19.7
04/02/2021 07:,19.7
04/02/2021 08:,19.7
04/02/2021 09:,19.7
04/02/2021 10:,19.7
04/02/2021 11:,19.9
04/02/2021 12:,20.1
04/02/2021 13:,20.1
04/02/2021 14:,20.4
04/02/2021 15:,20.4
04/02/2021 16:,20.4
04/02/2021 17:,20.4
04/02/2021 18:,20.4
04/02/2021 19:,20.2
04/02/2021 20:,20.2
04/02/2021 21:,20.1
04/02/2021 22:,20
04/02/2021 23:,20
05/02/2021 00:,20
05/02/2021 01:,19.9
05/02/2021 02:,19.9
05/02/2021 03:,19.9
05/02/2021 04:,19.9
05/02/2021 05:,19.8
05/02/2021 06:,19.7
05/02/2021 07:,19.7
05/02/2021 08:,19.6
05/02/2021 09:,19.6
05/02/2021 10:,19.8
05/02/2021 11:,19.9
05/02/2021 12:,20
05/02/2021 13:,20.15
05/02/2021 14:,20.34
05/02/2021 15:,20.37
05/02/2021 16:,20.44
05/02/2021 17:,20.35
05/02/2021 18:,20.3
05/02/2021 19:,20.23
05/02/2021 20:,20.11
05/02/2021 21:,20
05/02/2021 22:,19.99
05/02/2021 23:,19.86
06/02/2021 00:,19.74
06/02/2021 01:,19.74
06/02/2021 02:,19.62
06/02/2021 03:,19.52
06/02/2021 04:,19.5
06/02/2021 05:,19.39
06/02/2021 06:,19.38
06/02/2021 07:,19.26
06/02/2021 08:,19.26
06/02/2021 09:,19.26
06/02/2021 10:,19.38
06/02/2021 11:,19.62
06/02/2021 12:,19.74
06/02/2021 13:,19.99
06/02/2021 14:,20.22
06/02/2021 15:,20.28
06/02/2021 16:,20.29
06/02/2021 17:,20.23
06/02/2021 18:,20.12
06/02/2021 19:,20.11
06/02/2021 20:,19.99
06/02/2021 21:,19.99
06/02/2021 22:,19.87
06/02/2021 23:,19.86
07/02/2021 00:,19.86
07/02/2021 01:,19.74
07/02/2021 02:,19.73
07/02/2021 03:,19.72
07/02/2021 04:,19.62
07/02/2021 05:,19.62
07/02/2021 06:,19.62
07/02/2021 07:,19.5
07/02/2021 08:,19.5
07/02/2021 09:,19.51
07/02/2021 10:,19.51
07/02/2021 11:,19.52
07/02/2021 12:,19.51
07/02/2021 13:,19.62
07/02/2021 14:,19.66
07/02/2021 15:,19.74
07/02/2021 16:,19.75
07/02/2021 17:,19.74
07/02/2021 18:,19.73
07/02/2021 19:,19.63
07/02/2021 20:,19.62
07/02/2021 21:,19.62
07/02/2021 22:,19.51
07/02/2021 23:,19.51
08/02/2021 00:,19.5
08/02/2021 01:,19.5
08/02/2021 02:,19.38
08/02/2021 03:,19.38
08/02/2021 04:,19.34
08/02/2021 05:,19.26
08/02/2021 06:,19.25
08/02/2021 07:,19.13
08/02/2021 08:,19.01
08/02/2021 09:,19.02
08/02/2021 10:,19.13
08/02/2021 11:,19.34
08/02/2021 12:,19.52
08/02/2021 13:,19.75
08/02/2021 14:,19.98
08/02/2021 15:,19.99
08/02/2021 16:,19.98
08/02/2021 17:,19.87
08/02/2021 18:,19.87
08/02/2021 19:,19.75
08/02/2021 20:,19.62
08/02/2021 21:,19.62
08/02/2021 22:,19.52
08/02/2021 23:,19.52
09/02/2021 00:,19.5
09/02/2021 01:,19.49
09/02/2021 02:,19.38
09/02/2021 03:,19.38
09/02/2021 04:,19.26
09/02/2021 05:,19.25
09/02/2021 06:,19.15
09/02/2021 07:,19.13
09/02/2021 08:,19.13
09/02/2021 09:,19.14
09/02/2021 10:,19.13
09/02/2021 11:,19.26
09/02/2021 12:,19.57
09/02/2021 13:,19.74
09/02/2021 14:,19.99
09/02/2021 15:,20.1
09/02/2021 16:,20.11
09/02/2021 17:,20.11
09/02/2021 18:,20
09/02/2021 19:,19.99
09/02/2021 20:,19.87
09/02/2021 21:,19.84
09/02/2021 22:,19.74
09/02/2021 23:,19.63
10/02/2021 00:,19.6
10/02/2021 01:,19.5
10/02/2021 02:,19.5
10/02/2021 03:,19.4
10/02/2021 04:,19.38
10/02/2021 05:,19.37
10/02/2021 06:,19.34
10/02/2021 07:,19.27
10/02/2021 08:,19.26
10/02/2021 09:,19.28
10/02/2021 10:,19.38
10/02/2021 11:,19.5
10/02/2021 12:,19.62
10/02/2021 13:,19.74
10/02/2021 14:,19.86
10/02/2021 15:,19.98
10/02/2021 16:,19.94
10/02/2021 17:,19.87
10/02/2021 18:,19.86
10/02/2021 19:,19.75
10/02/2021 20:,19.71
10/02/2021 21:,19.62
10/02/2021 22:,19.51
10/02/2021 23:,19.46
11/02/2021 00:,19.38
11/02/2021 01:,19.26
11/02/2021 02:,19.24
11/02/2021 03:,19.13
11/02/2021 04:,19.06
11/02/2021 05:,19.01
11/02/2021 06:,19.01
11/02/2021 07:,18.93
11/02/2021 08:,18.97
11/02/2021 09:,19.01
11/02/2021 10:,19.15
11/02/2021 11:,19.38
11/02/2021 12:,19.68
11/02/2021 13:,19.99
11/02/2021 14:,20.23
11/02/2021 15:,20.47
11/02/2021 16:,20.35
11/02/2021 17:,20.34
11/02/2021 18:,20.12
11/02/2021 19:,20.01
11/02/2021 20:,19.89
11/02/2021 21:,19.8
11/02/2021 22:,19.74
11/02/2021 23:,19.62
12/02/2021 00:,19.5
12/02/2021 01:,19.38
12/02/2021 02:,19.26
12/02/2021 03:,19.25
12/02/2021 04:,19.13
12/02/2021 05:,19.13
12/02/2021 06:,19.01
12/02/2021 07:,18.91
12/02/2021 08:,18.89
12/02/2021 09:,18.89
12/02/2021 10:,19.01
12/02/2021 11:,19.16
12/02/2021 12:,19.4
12/02/2021 13:,19.62
12/02/2021 14:,19.75
12/02/2021 15:,19.86
12/02/2021 16:,19.86
12/02/2021 17:,19.85
12/02/2021 18:,19.74
12/02/2021 19:,19.68
12/02/2021 20:,19.62
12/02/2021 21:,19.5
12/02/2021 22:,19.5
12/02/2021 23:,19.38
13/02/2021 00:,19.27
13/02/2021 01:,19.18
13/02/2021 02:,19.01
13/02/2021 03:,18.88
13/02/2021 04:,18.65
13/02/2021 05:,18.52
13/02/2021 06:,18.3
13/02/2021 07:,18.15
13/02/2021 08:,18.02
13/02/2021 09:,17.79
13/02/2021 10:,17.67
13/02/2021 11:,17.66
13/02/2021 12:,17.66
13/02/2021 13:,17.78
13/02/2021 14:,17.91
13/02/2021 15:,18.02
13/02/2021 16:,18.03
13/02/2021 17:,17.9
13/02/2021 18:,17.66
13/02/2021 19:,17.48
13/02/2021 20:,17.41
13/02/2021 21:,17.38
13/02/2021 22:,17.31
13/02/2021 23:,17.29
14/02/2021 00:,17.17
14/02/2021 01:,17.16
14/02/2021 02:,17.07
14/02/2021 03:,17.05
14/02/2021 04:,17.04
14/02/2021 05:,17.02
14/02/2021 06:,17.02
14/02/2021 07:,17.02
14/02/2021 08:,17.02
14/02/2021 09:,17.02
14/02/2021 10:,17.02
14/02/2021 11:,17.17
14/02/2021 12:,17.42
14/02/2021 13:,17.59
14/02/2021 14:,17.79
14/02/2021 15:,17.91
14/02/2021 16:,17.91
14/02/2021 17:,17.83
14/02/2021 18:,17.78
14/02/2021 19:,17.66
14/02/2021 20:,17.66
14/02/2021 21:,17.54
14/02/2021 22:,17.54
14/02/2021 23:,17.53
15/02/2021 00:,17.41
15/02/2021 01:,17.41
15/02/2021 02:,17.31
15/02/2021 03:,17.3
15/02/2021 04:,17.29
15/02/2021 05:,17.28
15/02/2021 06:,17.18
15/02/2021 07:,17.17
15/02/2021 08:,17.17
15/02/2021 09:,17.17
15/02/2021 10:,17.34
15/02/2021 11:,17.66
15/02/2021 12:,17.91
15/02/2021 13:,18.16
15/02/2021 14:,18.3
15/02/2021 15:,18.49
15/02/2021 16:,18.52
15/02/2021 17:,18.52
15/02/2021 18:,18.4
15/02/2021 19:,18.28
15/02/2021 20:,18.22
15/02/2021 21:,18.15
15/02/2021 22:,18.06
15/02/2021 23:,17.98
16/02/2021 00:,17.91
16/02/2021 01:,17.8
16/02/2021 02:,17.78
16/02/2021 03:,17.74
16/02/2021 04:,17.66
16/02/2021 05:,17.67
16/02/2021 06:,17.66
16/02/2021 07:,17.66
16/02/2021 08:,17.66
16/02/2021 09:,17.78
16/02/2021 10:,17.91
16/02/2021 11:,18.03
16/02/2021 12:,18.15
16/02/2021 13:,18.39
16/02/2021 14:,18.52
16/02/2021 15:,18.65
16/02/2021 16:,18.76
16/02/2021 17:,18.77
16/02/2021 18:,18.78
16/02/2021 19:,18.79
16/02/2021 20:,18.76
16/02/2021 21:,18.76
16/02/2021 22:,18.77
16/02/2021 23:,18.77
17/02/2021 00:,18.77
17/02/2021 01:,18.77
17/02/2021 02:,18.77
17/02/2021 03:,18.77
17/02/2021 04:,18.77
17/02/2021 05:,18.77
17/02/2021 06:,18.77
17/02/2021 07:,18.77
17/02/2021 08:,18.77
17/02/2021 09:,18.82
17/02/2021 10:,18.89
17/02/2021 11:,19.1
17/02/2021 12:,19.25
17/02/2021 13:,19.5
17/02/2021 14:,19.67
17/02/2021 15:,19.87
17/02/2021 16:,19.99
17/02/2021 17:,19.99
17/02/2021 18:,19.87
17/02/2021 19:,19.86
17/02/2021 20:,19.74
17/02/2021 21:,19.74
17/02/2021 22:,19.63
17/02/2021 23:,19.62
18/02/2021 00:,19.62
18/02/2021 01:,19.51
18/02/2021 02:,19.51
18/02/2021 03:,19.5
18/02/2021 04:,19.38
18/02/2021 05:,19.37
18/02/2021 06:,19.26
18/02/2021 07:,19.14
18/02/2021 08:,19.13
18/02/2021 09:,19.14
18/02/2021 10:,19.25
18/02/2021 11:,19.5
18/02/2021 12:,19.88
18/02/2021 13:,20.11
18/02/2021 14:,20.23
18/02/2021 15:,20.35
18/02/2021 16:,20.35
18/02/2021 17:,20.3
18/02/2021 18:,20.22
18/02/2021 19:,20.01
18/02/2021 20:,19.87
18/02/2021 21:,19.75
18/02/2021 22:,19.62
18/02/2021 23:,19.5
19/02/2021 00:,19.45
19/02/2021 01:,19.38
19/02/2021 02:,19.26
19/02/2021 03:,19.24
19/02/2021 04:,19.13
19/02/2021 05:,19.13
19/02/2021 06:,19.11
19/02/2021 07:,19.02
19/02/2021 08:,19.02
19/02/2021 09:,19.02
19/02/2021 10:,19.12
19/02/2021 11:,19.14
19/02/2021 12:,19.37
19/02/2021 13:,19.49
19/02/2021 14:,19.63
19/02/2021 15:,19.73
19/02/2021 16:,19.74
19/02/2021 17:,19.74
19/02/2021 18:,19.71
19/02/2021 19:,19.62
19/02/2021 20:,19.62
19/02/2021 21:,19.62
19/02/2021 22:,19.5
19/02/2021 23:,19.5
20/02/2021 00:,19.5
20/02/2021 01:,19.38
20/02/2021 02:,19.38
20/02/2021 03:,19.38
20/02/2021 04:,19.38
20/02/2021 05:,19.34
20/02/2021 06:,19.26
20/02/2021 07:,19.26
20/02/2021 08:,19.26
20/02/2021 09:,19.27
20/02/2021 10:,19.38
20/02/2021 11:,19.5
20/02/2021 12:,19.63
20/02/2021 13:,19.86
20/02/2021 14:,20.07
20/02/2021 15:,20.23
20/02/2021 16:,20.34
20/02/2021 17:,20.23
20/02/2021 18:,20.11
20/02/2021 19:,19.99
20/02/2021 20:,19.87
20/02/2021 21:,19.74
20/02/2021 22:,19.62
20/02/2021 23:,19.5
21/02/2021 00:,19.38
21/02/2021 01:,19.37
21/02/2021 02:,19.25
21/02/2021 03:,19.14
